deal_id,opp_id,arr_value,close_date,customer_segment,cac,renewal_flag,cac_efficiency,days_in_stage,cluster_label
DEAL-0001,OPP-0002,8900.0,2025-02-12,SMB,3260.0,0,2.73,7,Long Tail
DEAL-0002,OPP-0007,51300.0,2025-02-14,Mid-Market,1180.0,0,43.47,13,Long Tail
DEAL-0003,OPP-0011,127900.0,2026-05-31,Enterprise,5350.0,1,23.91,10,High Value Fast Close
DEAL-0004,OPP-0020,199800.0,2025-11-14,Enterprise,4190.0,0,47.68,3,High Value Fast Close
DEAL-0005,OPP-0027,31600.0,2025-08-07,Mid-Market,4500.0,0,7.02,6,Long Tail
DEAL-0006,OPP-0031,60200.0,2026-02-24,Mid-Market,11760.0,1,5.12,10,Mid Market Standard
DEAL-0007,OPP-0034,38900.0,2024-09-10,Mid-Market,2450.0,0,15.88,8,Long Tail
DEAL-0008,OPP-0039,74200.0,2025-02-08,Mid-Market,5930.0,0,12.51,13,Mid Market Standard
DEAL-0009,OPP-0046,94400.0,2026-05-31,Mid-Market,1810.0,0,52.15,9,High Value Fast Close
DEAL-0010,OPP-0051,21000.0,2026-05-31,SMB,4510.0,0,4.66,3,Long Tail
DEAL-0011,OPP-0059,28600.0,2025-08-13,Mid-Market,2350.0,0,12.17,2,Long Tail
DEAL-0012,OPP-0066,101400.0,2024-12-26,Enterprise,3090.0,0,32.82,10,High Value Fast Close
DEAL-0013,OPP-0073,164600.0,2025-07-07,Enterprise,1050.0,0,156.76,6,High Value Fast Close
DEAL-0014,OPP-0076,97800.0,2024-11-30,Mid-Market,9600.0,1,10.19,3,Mid Market Standard
DEAL-0015,OPP-0082,23100.0,2025-11-25,SMB,5330.0,0,4.33,13,Mid Market Standard
DEAL-0016,OPP-0083,83200.0,2024-11-13,Mid-Market,9420.0,0,8.83,9,Mid Market Standard
DEAL-0017,OPP-0089,99400.0,2026-05-31,Mid-Market,13420.0,0,7.41,14,Mid Market Standard
DEAL-0018,OPP-0090,77100.0,2026-05-31,Mid-Market,11260.0,0,6.85,5,Mid Market Standard
DEAL-0019,OPP-0093,84200.0,2026-02-22,Mid-Market,1410.0,0,59.72,14,High Value Fast Close
DEAL-0020,OPP-0096,95300.0,2026-05-31,Mid-Market,3360.0,1,28.36,5,High Value Fast Close
DEAL-0021,OPP-0110,58900.0,2024-09-16,Mid-Market,3480.0,0,16.93,12,Long Tail
DEAL-0022,OPP-0113,10300.0,2024-08-17,SMB,3660.0,1,2.81,1,Long Tail
DEAL-0023,OPP-0117,43300.0,2024-10-31,Mid-Market,2150.0,0,20.14,8,Long Tail
DEAL-0024,OPP-0118,31300.0,2024-09-02,Mid-Market,1900.0,0,16.47,7,Long Tail
DEAL-0025,OPP-0119,17700.0,2025-08-16,SMB,6990.0,0,2.53,6,Long Tail
DEAL-0026,OPP-0122,20100.0,2024-11-26,SMB,4190.0,0,4.8,2,Long Tail
DEAL-0027,OPP-0124,18500.0,2026-04-15,SMB,3980.0,0,4.65,6,Long Tail
DEAL-0028,OPP-0126,29200.0,2025-05-03,Mid-Market,1860.0,0,15.7,6,Long Tail
DEAL-0029,OPP-0142,28200.0,2026-05-31,Mid-Market,5980.0,0,4.72,10,Mid Market Standard
DEAL-0030,OPP-0144,16200.0,2025-04-20,SMB,3620.0,0,4.48,5,Long Tail
DEAL-0031,OPP-0149,38700.0,2024-12-20,Mid-Market,2740.0,0,14.12,3,Long Tail
DEAL-0032,OPP-0151,41100.0,2026-03-25,Mid-Market,13950.0,0,2.95,13,Mid Market Standard
DEAL-0033,OPP-0152,21600.0,2024-10-21,SMB,3480.0,1,6.21,8,Long Tail
DEAL-0034,OPP-0154,90100.0,2024-08-06,Mid-Market,2740.0,0,32.88,11,High Value Fast Close
DEAL-0035,OPP-0162,205100.0,2025-06-25,Enterprise,6870.0,0,29.85,2,High Value Fast Close
DEAL-0036,OPP-0163,26300.0,2025-02-02,Mid-Market,4850.0,0,5.42,9,Long Tail
DEAL-0037,OPP-0170,93000.0,2026-02-07,Mid-Market,3330.0,0,27.93,3,Long Tail
DEAL-0038,OPP-0180,21200.0,2026-05-31,SMB,7580.0,0,2.8,8,Mid Market Standard
DEAL-0039,OPP-0181,13000.0,2024-10-02,SMB,6240.0,0,2.08,3,Long Tail
DEAL-0040,OPP-0190,102400.0,2025-08-28,Enterprise,3170.0,0,32.3,14,High Value Fast Close
DEAL-0041,OPP-0192,74100.0,2025-11-16,Mid-Market,10490.0,1,7.06,4,Mid Market Standard
DEAL-0042,OPP-0202,74400.0,2025-04-29,Mid-Market,5700.0,0,13.05,3,Long Tail
DEAL-0043,OPP-0205,20300.0,2025-12-03,SMB,1450.0,1,14.0,9,Long Tail
DEAL-0044,OPP-0207,37900.0,2026-01-22,Mid-Market,2670.0,0,14.19,4,Long Tail
DEAL-0045,OPP-0208,81600.0,2026-05-21,Mid-Market,2400.0,0,34.0,13,High Value Fast Close
DEAL-0046,OPP-0220,49600.0,2026-05-31,Mid-Market,3190.0,0,15.55,3,Long Tail
DEAL-0047,OPP-0226,49900.0,2025-10-10,Mid-Market,4600.0,1,10.85,3,Long Tail
DEAL-0048,OPP-0236,21000.0,2025-08-17,SMB,5440.0,0,3.86,4,Long Tail
DEAL-0049,OPP-0237,65100.0,2025-04-12,Mid-Market,5390.0,0,12.08,1,Long Tail
DEAL-0050,OPP-0239,24300.0,2025-01-08,SMB,10460.0,0,2.32,1,Mid Market Standard
DEAL-0051,OPP-0241,93400.0,2025-06-01,Mid-Market,1790.0,0,52.18,1,Long Tail
