lead_id,created_date,lead_source,industry,company_size,region,lead_status
LD-0001,2024-06-25,Outbound SDR,Manufacturing,51-200,North America,Contacted
LD-0002,2025-11-08,Paid Ads,HealthTech,11-50,North America,Disqualified
LD-0003,2024-11-03,Event,Professional Services,201-1000,EMEA,New
LD-0004,2025-11-01,Outbound SDR,E-Commerce,11-50,North America,New
LD-0005,2025-07-17,Organic Search,SaaS,51-200,North America,Qualified
LD-0006,2024-10-26,Partner,Professional Services,1-10,EMEA,Qualified
LD-0007,2025-05-09,Outbound SDR,HealthTech,11-50,EMEA,Contacted
LD-0008,2024-06-27,Outbound SDR,SaaS,1-10,APAC,Qualified
LD-0009,2025-10-25,Organic Search,SaaS,1-10,APAC,Disqualified
LD-0010,2025-01-08,Paid Ads,E-Commerce,51-200,APAC,Qualified
LD-0011,2025-03-07,Paid Ads,SaaS,11-50,APAC,Disqualified
LD-0012,2024-09-23,Partner,FinTech,1-10,EMEA,Qualified
LD-0013,2025-02-22,Outbound SDR,SaaS,201-1000,North America,Qualified
LD-0014,2025-03-16,Event,HealthTech,1-10,EMEA,Contacted
LD-0015,2024-11-11,Paid Ads,FinTech,51-200,North America,New
LD-0016,2026-05-15,Organic Search,HealthTech,51-200,North America,New
LD-0017,2024-12-21,Referral,SaaS,11-50,North America,Qualified
LD-0018,2024-10-11,Organic Search,SaaS,11-50,APAC,Qualified
LD-0019,2025-07-05,Event,E-Commerce,1-10,APAC,Contacted
LD-0020,2025-01-19,Outbound SDR,FinTech,51-200,LATAM,Qualified
LD-0021,2025-04-27,Outbound SDR,E-Commerce,11-50,LATAM,New
LD-0022,2025-11-11,Paid Ads,SaaS,1-10,APAC,New
LD-0023,2024-07-28,Partner,SaaS,11-50,North America,Disqualified
LD-0024,2025-06-07,Event,SaaS,201-1000,APAC,Contacted
LD-0025,2024-06-16,Outbound SDR,HealthTech,201-1000,APAC,New
LD-0026,2024-07-03,Organic Search,FinTech,1000+,APAC,Contacted
LD-0027,2024-08-07,Referral,Manufacturing,51-200,North America,Contacted
LD-0028,2024-09-26,Organic Search,FinTech,51-200,North America,Qualified
LD-0029,2025-02-10,Organic Search,HealthTech,11-50,LATAM,Disqualified
LD-0030,2026-04-13,Outbound SDR,E-Commerce,201-1000,North America,Qualified
LD-0031,2026-03-23,Outbound SDR,SaaS,11-50,North America,Qualified
LD-0032,2024-08-15,Partner,HealthTech,11-50,North America,Contacted
LD-0033,2026-05-24,Paid Ads,FinTech,51-200,North America,Contacted
LD-0034,2025-09-06,Paid Ads,FinTech,51-200,North America,Contacted
LD-0035,2025-07-09,Referral,SaaS,1-10,LATAM,New
LD-0036,2025-12-30,Organic Search,Manufacturing,11-50,APAC,Disqualified
LD-0037,2025-05-20,Organic Search,Professional Services,11-50,APAC,Contacted
LD-0038,2024-12-11,Referral,SaaS,201-1000,North America,Contacted
LD-0039,2025-06-22,Organic Search,E-Commerce,11-50,North America,New
LD-0040,2025-11-11,Outbound SDR,Manufacturing,201-1000,North America,Qualified
LD-0041,2025-10-11,Paid Ads,FinTech,11-50,North America,New
LD-0042,2024-10-02,Event,Manufacturing,51-200,North America,Contacted
LD-0043,2026-04-15,Outbound SDR,E-Commerce,1-10,APAC,Disqualified
LD-0044,2024-12-25,Paid Ads,Professional Services,201-1000,LATAM,Contacted
LD-0045,2026-01-19,Event,Professional Services,11-50,EMEA,Disqualified
LD-0046,2025-01-14,Event,SaaS,11-50,North America,New
LD-0047,2024-07-17,Paid Ads,HealthTech,11-50,North America,Qualified
LD-0048,2026-05-28,Paid Ads,HealthTech,11-50,North America,Disqualified
LD-0049,2025-08-04,Outbound SDR,SaaS,11-50,North America,Contacted
LD-0050,2024-11-04,Organic Search,FinTech,51-200,EMEA,Qualified
LD-0051,2024-06-01,Organic Search,Professional Services,1000+,North America,Contacted
LD-0052,2024-09-03,Organic Search,SaaS,51-200,EMEA,Qualified
LD-0053,2024-10-02,Outbound SDR,HealthTech,51-200,APAC,Disqualified
LD-0054,2026-04-06,Outbound SDR,Manufacturing,11-50,North America,Qualified
LD-0055,2024-10-08,Outbound SDR,FinTech,201-1000,North America,Disqualified
LD-0056,2024-09-27,Outbound SDR,HealthTech,201-1000,North America,Qualified
LD-0057,2026-02-01,Paid Ads,Professional Services,11-50,North America,Contacted
LD-0058,2026-03-03,Referral,HealthTech,1000+,EMEA,Contacted
LD-0059,2024-10-31,Organic Search,SaaS,11-50,APAC,Qualified
LD-0060,2025-09-18,Organic Search,SaaS,201-1000,APAC,Disqualified
LD-0061,2025-06-25,Outbound SDR,Professional Services,1000+,EMEA,Qualified
LD-0062,2025-07-26,Referral,SaaS,51-200,North America,New
LD-0063,2025-01-13,Referral,HealthTech,1-10,North America,Contacted
LD-0064,2025-11-30,Outbound SDR,SaaS,51-200,North America,Qualified
LD-0065,2026-03-05,Outbound SDR,FinTech,1-10,North America,Disqualified
LD-0066,2025-11-12,Referral,Professional Services,201-1000,APAC,New
LD-0067,2026-03-21,Referral,HealthTech,11-50,EMEA,New
LD-0068,2024-08-20,Paid Ads,Professional Services,51-200,North America,Contacted
LD-0069,2025-09-22,Organic Search,SaaS,201-1000,North America,New
LD-0070,2026-05-30,Paid Ads,HealthTech,1-10,North America,Disqualified
LD-0071,2025-06-26,Organic Search,Manufacturing,11-50,APAC,Contacted
LD-0072,2026-04-18,Paid Ads,HealthTech,51-200,North America,Contacted
LD-0073,2025-02-09,Event,SaaS,11-50,North America,New
LD-0074,2026-03-16,Organic Search,Manufacturing,1-10,North America,Contacted
LD-0075,2026-04-16,Organic Search,FinTech,1-10,APAC,Disqualified
LD-0076,2025-08-28,Paid Ads,HealthTech,11-50,EMEA,Contacted
LD-0077,2025-10-27,Paid Ads,Professional Services,51-200,EMEA,New
LD-0078,2025-06-17,Outbound SDR,SaaS,51-200,North America,New
LD-0079,2025-01-18,Referral,FinTech,1-10,North America,Disqualified
LD-0080,2025-06-26,Outbound SDR,SaaS,11-50,APAC,Disqualified
LD-0081,2026-05-03,Outbound SDR,FinTech,11-50,North America,New
LD-0082,2024-06-11,Paid Ads,SaaS,11-50,North America,Qualified
LD-0083,2024-10-28,Event,E-Commerce,51-200,EMEA,New
LD-0084,2025-05-31,Organic Search,SaaS,11-50,North America,Contacted
LD-0085,2025-02-03,Organic Search,E-Commerce,51-200,North America,New
LD-0086,2025-08-29,Organic Search,SaaS,201-1000,APAC,Qualified
LD-0087,2025-02-18,Outbound SDR,FinTech,51-200,EMEA,Disqualified
LD-0088,2025-09-24,Referral,FinTech,51-200,North America,New
LD-0089,2024-08-17,Organic Search,E-Commerce,1-10,North America,Contacted
LD-0090,2025-01-29,Referral,HealthTech,1-10,EMEA,New
LD-0091,2025-10-19,Organic Search,FinTech,1-10,North America,Contacted
LD-0092,2025-05-10,Outbound SDR,Manufacturing,51-200,North America,New
LD-0093,2025-11-03,Paid Ads,HealthTech,201-1000,EMEA,New
LD-0094,2025-09-07,Paid Ads,SaaS,1-10,EMEA,Disqualified
LD-0095,2025-01-26,Paid Ads,Professional Services,1-10,LATAM,New
LD-0096,2025-04-09,Outbound SDR,FinTech,11-50,North America,Disqualified
LD-0097,2026-05-05,Paid Ads,SaaS,51-200,North America,New
LD-0098,2026-05-03,Organic Search,HealthTech,51-200,EMEA,Contacted
LD-0099,2024-06-26,Organic Search,SaaS,51-200,EMEA,Contacted
LD-0100,2025-10-28,Partner,SaaS,201-1000,North America,Disqualified
LD-0101,2025-05-24,Event,Manufacturing,11-50,EMEA,New
LD-0102,2024-06-01,Outbound SDR,SaaS,51-200,North America,New
LD-0103,2025-09-06,Paid Ads,Manufacturing,51-200,APAC,Qualified
LD-0104,2024-06-17,Partner,Professional Services,11-50,APAC,Qualified
LD-0105,2025-01-19,Outbound SDR,E-Commerce,201-1000,North America,Qualified
LD-0106,2025-10-17,Outbound SDR,E-Commerce,1-10,LATAM,New
LD-0107,2026-01-14,Paid Ads,E-Commerce,51-200,LATAM,New
LD-0108,2025-03-28,Paid Ads,Professional Services,51-200,North America,Qualified
LD-0109,2026-01-11,Organic Search,FinTech,201-1000,North America,Qualified
LD-0110,2026-02-02,Event,SaaS,11-50,EMEA,Qualified
LD-0111,2025-04-23,Paid Ads,HealthTech,11-50,North America,Contacted
LD-0112,2024-10-05,Organic Search,HealthTech,201-1000,North America,New
LD-0113,2025-09-24,Paid Ads,SaaS,51-200,North America,Disqualified
LD-0114,2024-06-11,Referral,E-Commerce,11-50,LATAM,Qualified
LD-0115,2026-03-14,Organic Search,SaaS,51-200,North America,New
LD-0116,2025-03-10,Event,Professional Services,11-50,APAC,Disqualified
LD-0117,2025-12-07,Outbound SDR,SaaS,51-200,North America,Qualified
LD-0118,2025-11-19,Outbound SDR,SaaS,201-1000,North America,Contacted
LD-0119,2025-05-11,Paid Ads,SaaS,11-50,APAC,Contacted
LD-0120,2026-05-10,Outbound SDR,SaaS,11-50,North America,Qualified
LD-0121,2026-01-02,Referral,SaaS,1000+,North America,Contacted
LD-0122,2026-03-07,Outbound SDR,SaaS,201-1000,North America,Contacted
LD-0123,2024-08-08,Organic Search,SaaS,201-1000,EMEA,Qualified
LD-0124,2025-05-19,Paid Ads,SaaS,11-50,North America,New
LD-0125,2026-04-25,Organic Search,FinTech,1000+,North America,Disqualified
LD-0126,2026-01-14,Referral,FinTech,1-10,North America,Contacted
LD-0127,2025-04-28,Paid Ads,FinTech,11-50,North America,Contacted
LD-0128,2024-07-22,Organic Search,FinTech,11-50,North America,Qualified
LD-0129,2024-12-23,Organic Search,SaaS,201-1000,EMEA,Qualified
LD-0130,2025-07-23,Referral,SaaS,201-1000,North America,Contacted
LD-0131,2025-09-11,Organic Search,SaaS,51-200,North America,Qualified
LD-0132,2026-04-05,Partner,Manufacturing,51-200,EMEA,Disqualified
LD-0133,2024-08-07,Referral,Professional Services,11-50,EMEA,Qualified
LD-0134,2025-03-16,Paid Ads,Professional Services,11-50,North America,Qualified
LD-0135,2024-12-16,Referral,HealthTech,11-50,North America,New
LD-0136,2026-05-01,Organic Search,HealthTech,1-10,North America,Contacted
