opp_id,lead_id,stage,arr_value,arr_imputed_flag,created_date,close_date,close_date_imputed_flag,days_in_stage,owner_id,close_probability,industry,company_size
OPP-0001,LD-0005,Evaluation,94200.0,0,2025-08-03,,0,25,REP-02,38,SaaS,51-200
OPP-0002,LD-0006,Closed Won,8900.0,0,2024-11-16,2025-02-12,0,7,REP-03,100,Professional Services,1-10
OPP-0003,LD-0008,Discovery,27300.0,0,2024-06-30,,0,10,REP-01,16,SaaS,1-10
OPP-0004,LD-0010,Closed Lost,107500.0,0,2025-01-28,2025-05-30,0,7,REP-05,0,E-Commerce,51-200
OPP-0005,LD-0012,Negotiation,24300.0,0,2024-10-07,,0,20,REP-02,78,FinTech,1-10
OPP-0006,LD-0013,Discovery,74400.0,0,2025-02-24,,0,16,REP-07,11,SaaS,201-1000
OPP-0007,LD-0017,Closed Won,51300.0,0,2025-01-16,2025-01-24,1,13,REP-03,100,SaaS,11-50
OPP-0008,LD-0018,Proposal,44100.0,0,2024-10-19,,0,7,REP-06,47,SaaS,11-50
OPP-0009,LD-0020,Evaluation,57100.0,0,2025-02-14,,0,12,REP-02,43,FinTech,51-200
OPP-0010,LD-0028,Closed Lost,100700.0,0,2024-10-02,2025-02-19,0,16,REP-03,0,FinTech,51-200
OPP-0011,LD-0030,Closed Won,127900.0,0,2026-04-29,2026-05-31,0,10,REP-02,100,E-Commerce,201-1000
OPP-0012,LD-0031,Negotiation,53400.0,0,2026-04-03,,0,11,REP-05,74,SaaS,11-50
OPP-0013,LD-0040,Closed Lost,140400.0,0,2025-12-07,2026-03-14,0,10,REP-01,0,Manufacturing,201-1000
OPP-0014,LD-0047,Negotiation,28000.0,0,2024-08-14,,0,6,REP-01,77,HealthTech,11-50
OPP-0015,LD-0050,Proposal,108000.0,0,2024-11-27,,0,6,REP-05,60,FinTech,51-200
OPP-0016,LD-0052,Evaluation,75700.0,0,2024-09-28,,0,11,REP-05,28,SaaS,51-200
OPP-0017,LD-0054,Discovery,38300.0,0,2026-04-29,,0,16,REP-03,25,Manufacturing,11-50
OPP-0018,LD-0056,Proposal,108400.0,0,2024-10-06,,0,27,REP-04,53,HealthTech,201-1000
OPP-0019,LD-0059,Proposal,21100.0,0,2024-11-27,,0,17,REP-04,63,SaaS,11-50
OPP-0020,LD-0061,Closed Won,199800.0,0,2025-07-11,2025-11-14,0,3,REP-07,100,Professional Services,1000+
OPP-0021,LD-0064,Proposal,64500.0,0,2025-12-10,,0,28,REP-04,53,SaaS,51-200
OPP-0022,LD-0082,Negotiation,57100.0,0,2024-06-17,,0,16,REP-07,73,SaaS,11-50
OPP-0023,LD-0086,Closed Lost,175800.0,0,2025-09-19,2025-12-12,0,5,REP-02,0,SaaS,201-1000
OPP-0024,LD-0103,Closed Lost,91400.0,0,2025-09-15,2025-12-18,0,5,REP-02,0,Manufacturing,51-200
OPP-0025,LD-0104,Evaluation,25900.0,0,2024-07-06,,0,17,REP-04,37,Professional Services,11-50
OPP-0026,LD-0105,Closed Lost,145900.0,0,2025-01-21,2025-02-18,0,23,REP-01,0,E-Commerce,201-1000
OPP-0027,LD-0108,Closed Won,31600.0,0,2025-04-16,2025-08-07,0,6,REP-06,100,Professional Services,51-200
OPP-0028,LD-0109,Discovery,159200.0,0,2026-01-30,,0,11,REP-04,13,FinTech,201-1000
OPP-0029,LD-0110,Evaluation,37200.0,0,2026-02-18,,0,16,REP-03,37,SaaS,11-50
OPP-0030,LD-0114,Evaluation,57200.0,0,2024-07-01,,0,34,REP-05,45,E-Commerce,11-50
OPP-0031,LD-0117,Closed Won,60200.0,0,2026-01-05,2026-02-24,0,10,REP-01,100,SaaS,51-200
OPP-0032,LD-0120,Negotiation,26800.0,0,2026-06-04,,0,32,REP-04,78,SaaS,11-50
OPP-0033,LD-0123,Negotiation,179400.0,0,2024-08-21,,0,22,REP-08,66,SaaS,201-1000
OPP-0034,LD-0128,Closed Won,38900.0,0,2024-08-17,2024-09-10,0,8,REP-06,100,FinTech,11-50
OPP-0035,LD-0129,Evaluation,163600.0,0,2025-01-20,,0,32,REP-05,39,SaaS,201-1000
OPP-0036,LD-0131,Proposal,102900.0,0,2025-09-16,,0,22,REP-05,45,SaaS,51-200
OPP-0037,LD-0133,Closed Lost,38300.0,0,2024-08-18,2025-01-11,0,25,REP-04,0,Professional Services,11-50
OPP-0038,LD-0134,Closed Lost,35500.0,0,2025-04-07,2025-06-23,0,2,REP-08,0,Professional Services,11-50
OPP-0039,LD-0139,Closed Won,74200.0,0,2025-01-19,2025-02-08,0,13,REP-08,100,Manufacturing,51-200
OPP-0040,LD-0145,Evaluation,53100.0,0,2025-04-16,,0,34,REP-04,27,FinTech,11-50
OPP-0041,LD-0146,Discovery,58400.0,0,2025-01-27,,0,15,REP-08,14,Professional Services,11-50
OPP-0042,LD-0149,Evaluation,29800.0,0,2025-07-02,,0,34,REP-01,31,Manufacturing,11-50
OPP-0043,LD-0155,Proposal,89100.0,0,2025-08-07,,0,19,REP-03,45,E-Commerce,51-200
OPP-0044,LD-0166,Evaluation,27800.0,0,2024-09-20,,0,15,REP-03,25,SaaS,11-50
OPP-0045,LD-0167,Closed Lost,21400.0,0,2024-07-23,2024-10-09,0,19,REP-06,0,Professional Services,1-10
OPP-0046,LD-0172,Closed Won,94400.0,0,2026-01-13,2026-05-31,0,9,REP-05,100,SaaS,51-200
OPP-0047,LD-0173,Proposal,231800.0,0,2025-07-13,,0,8,REP-04,61,HealthTech,1000+
OPP-0048,LD-0177,Evaluation,65900.0,0,2025-11-14,,0,12,REP-03,34,FinTech,51-200
OPP-0049,LD-0182,Proposal,16100.0,0,2025-10-26,,0,12,REP-05,49,Professional Services,1-10
OPP-0050,LD-0189,Proposal,13600.0,0,2024-09-01,,0,19,REP-03,54,SaaS,1-10
OPP-0051,LD-0190,Closed Won,21000.0,0,2026-03-15,2026-03-23,1,3,REP-04,100,Professional Services,11-50
OPP-0052,LD-0191,Discovery,16000.0,0,2025-01-12,,0,17,REP-03,21,SaaS,1-10
OPP-0053,LD-0197,Closed Lost,20100.0,1,2026-05-13,2026-05-31,0,4,REP-08,0,SaaS,1-10
OPP-0054,LD-0204,Discovery,63500.0,0,2026-01-12,,0,20,REP-06,21,SaaS,51-200
OPP-0055,LD-0209,Evaluation,29300.0,0,2026-02-03,,0,26,REP-02,31,SaaS,11-50
OPP-0056,LD-0213,Closed Lost,48300.0,0,2025-12-22,2026-01-24,0,11,REP-08,0,Professional Services,11-50
OPP-0057,LD-0214,Evaluation,12700.0,0,2025-02-16,,0,17,REP-06,28,HealthTech,1-10
OPP-0058,LD-0220,Discovery,50500.0,0,2025-03-05,,0,16,REP-03,25,FinTech,51-200
OPP-0059,LD-0222,Closed Won,28600.0,0,2025-03-07,2025-08-13,0,2,REP-05,100,HealthTech,1-10
OPP-0060,LD-0227,Proposal,36500.0,0,2025-05-17,,0,23,REP-02,58,E-Commerce,51-200
OPP-0061,LD-0230,Discovery,33700.0,0,2024-07-06,,0,13,REP-01,25,E-Commerce,11-50
OPP-0062,LD-0234,Discovery,76100.0,0,2026-05-06,,0,7,REP-04,14,Professional Services,51-200
OPP-0063,LD-0239,Discovery,48400.0,0,2025-04-20,,0,20,REP-07,11,FinTech,51-200
OPP-0064,LD-0253,Negotiation,14200.0,0,2025-01-11,,0,30,REP-03,73,FinTech,1-10
OPP-0065,LD-0254,Evaluation,47700.0,0,2024-06-24,,0,11,REP-04,31,E-Commerce,51-200
OPP-0066,LD-0255,Closed Won,101400.0,0,2024-09-21,2024-12-26,0,10,REP-08,100,Professional Services,201-1000
OPP-0067,LD-0257,Closed Lost,27800.0,0,2025-10-22,2025-11-27,0,13,REP-08,0,Professional Services,1-10
OPP-0068,LD-0259,Discovery,159100.0,0,2024-12-31,,0,17,REP-04,21,SaaS,1000+
OPP-0069,LD-0263,Evaluation,33800.0,0,2025-12-29,,0,21,REP-01,40,HealthTech,11-50
OPP-0070,LD-0265,Discovery,60900.0,0,2025-05-30,,0,21,REP-06,11,HealthTech,51-200
OPP-0071,LD-0269,Evaluation,175700.0,0,2025-02-03,,0,33,REP-06,37,E-Commerce,201-1000
OPP-0072,LD-0274,Evaluation,74100.0,0,2025-12-05,,0,8,REP-08,32,Manufacturing,201-1000
OPP-0073,LD-0278,Closed Won,164600.0,0,2025-03-07,2025-07-07,0,6,REP-08,100,SaaS,201-1000
OPP-0074,LD-0282,Proposal,29700.0,0,2024-06-19,,0,10,REP-06,57,SaaS,11-50
OPP-0075,LD-0291,Negotiation,29000.0,0,2024-11-12,,0,23,REP-01,73,Professional Services,1-10
OPP-0076,LD-0295,Closed Won,97800.0,0,2024-08-27,2024-11-30,0,3,REP-02,100,FinTech,201-1000
OPP-0077,LD-0297,Closed Lost,18700.0,0,2025-04-14,2025-05-28,0,17,REP-06,0,E-Commerce,11-50
OPP-0078,LD-0301,Evaluation,38400.0,0,2024-06-13,,0,11,REP-05,36,Professional Services,11-50
OPP-0079,LD-0305,Evaluation,13000.0,0,2025-01-21,,0,25,REP-04,40,FinTech,1-10
OPP-0080,LD-0307,Closed Lost,90200.0,0,2024-10-08,2025-03-07,0,14,REP-04,0,HealthTech,51-200
OPP-0081,LD-0308,Evaluation,44600.0,0,2025-02-24,,0,35,REP-06,31,FinTech,11-50
OPP-0082,LD-0327,Closed Won,23100.0,0,2025-06-28,2025-11-25,0,13,REP-04,100,SaaS,1-10
OPP-0083,LD-0329,Closed Won,83200.0,0,2024-06-07,2024-06-15,1,9,REP-02,100,HealthTech,201-1000
OPP-0084,LD-0332,Negotiation,203400.0,0,2026-05-26,,0,23,REP-08,69,FinTech,1000+
OPP-0085,LD-0334,Evaluation,29000.0,0,2026-04-21,,0,27,REP-03,39,SaaS,11-50
OPP-0086,LD-0336,Discovery,30000.0,0,2026-01-29,,0,15,REP-03,25,E-Commerce,1-10
OPP-0087,LD-0337,Negotiation,24100.0,0,2026-03-13,,0,10,REP-01,74,Manufacturing,1-10
OPP-0088,LD-0340,Negotiation,130800.0,0,2024-09-23,,0,20,REP-04,85,SaaS,201-1000
OPP-0089,LD-0343,Closed Won,99400.0,0,2026-05-29,2026-05-31,0,14,REP-08,100,E-Commerce,51-200
OPP-0090,LD-0345,Closed Won,65900.0,1,2026-02-25,2026-05-31,0,5,REP-02,100,E-Commerce,51-200
OPP-0091,LD-0347,Closed Lost,74200.0,0,2026-05-13,2026-05-31,0,1,REP-02,0,Manufacturing,51-200
OPP-0092,LD-0353,Closed Lost,49000.0,0,2025-04-12,2025-05-19,0,26,REP-02,0,SaaS,51-200
OPP-0093,LD-0356,Closed Won,84200.0,0,2025-11-24,2026-02-22,0,14,REP-01,100,Manufacturing,51-200
OPP-0094,LD-0357,Discovery,149900.0,0,2025-05-14,,0,15,REP-05,12,HealthTech,1000+
OPP-0095,LD-0368,Proposal,33400.0,0,2024-07-13,,0,21,REP-03,62,FinTech,51-200
OPP-0096,LD-0375,Closed Won,95300.0,0,2026-05-25,2026-05-31,0,5,REP-07,100,FinTech,51-200
OPP-0097,LD-0377,Negotiation,34100.0,0,2025-03-04,,0,19,REP-04,85,Professional Services,51-200
OPP-0098,LD-0378,Evaluation,22800.0,0,2024-12-18,,0,33,REP-06,31,E-Commerce,1-10
OPP-0099,LD-0388,Negotiation,11400.0,0,2025-05-16,,0,40,REP-01,68,SaaS,1-10
OPP-0100,LD-0391,Proposal,17500.0,0,2025-03-03,,0,17,REP-03,58,E-Commerce,1-10
OPP-0101,LD-0394,Evaluation,98700.0,0,2024-08-18,,0,16,REP-04,43,SaaS,51-200
OPP-0102,LD-0398,Closed Lost,37600.0,0,2025-09-19,2025-10-25,0,6,REP-01,0,SaaS,51-200
OPP-0103,LD-0400,Proposal,83400.0,0,2026-02-06,,0,5,REP-04,46,HealthTech,51-200
OPP-0104,LD-0403,Negotiation,21500.0,0,2026-04-11,,0,24,REP-04,78,Manufacturing,1-10
OPP-0105,LD-0404,Negotiation,54000.0,0,2026-01-07,,0,27,REP-04,83,Professional Services,11-50
